GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US01001,01001,"Autauga County, Alabama",143000,6496
0500000US01003,01003,"Baldwin County, Alabama",182000,3992
0500000US01005,01005,"Barbour County, Alabama",89300,5605
0500000US01007,01007,"Bibb County, Alabama",105500,12056
0500000US01009,01009,"Blount County, Alabama",122200,4169
0500000US01011,01011,"Bullock County, Alabama",66800,9883
0500000US01013,01013,"Butler County, Alabama",88800,7151
0500000US01015,01015,"Calhoun County, Alabama",110100,3241
0500000US01017,01017,"Chambers County, Alabama",86400,4374
0500000US01019,01019,"Cherokee County, Alabama",116300,6948
0500000US01021,01021,"Chilton County, Alabama",98600,6349
0500000US01023,01023,"Choctaw County, Alabama",69000,6510
0500000US01025,01025,"Clarke County, Alabama",93500,12384
0500000US01027,01027,"Clay County, Alabama",89300,8181
0500000US01029,01029,"Cleburne County, Alabama",111800,7749
0500000US01031,01031,"Coffee County, Alabama",147800,7279
0500000US01033,01033,"Colbert County, Alabama",108500,5071
0500000US01035,01035,"Conecuh County, Alabama",76100,4781
0500000US01037,01037,"Coosa County, Alabama",87300,16101
0500000US01039,01039,"Covington County, Alabama",96200,4875
0500000US01041,01041,"Crenshaw County, Alabama",76800,4381
0500000US01043,01043,"Cullman County, Alabama",121900,5215
0500000US01045,01045,"Dale County, Alabama",108000,5297
0500000US01047,01047,"Dallas County, Alabama",80800,4241
0500000US01049,01049,"DeKalb County, Alabama",102900,5534
0500000US01051,01051,"Elmore County, Alabama",155300,5446
0500000US01053,01053,"Escambia County, Alabama",94500,4247
0500000US01055,01055,"Etowah County, Alabama",105100,3137
0500000US01057,01057,"Fayette County, Alabama",83200,4986
0500000US01059,01059,"Franklin County, Alabama",87600,4315
0500000US01061,01061,"Geneva County, Alabama",87800,5009
0500000US01063,01063,"Greene County, Alabama",67700,5463
0500000US01065,01065,"Hale County, Alabama",88800,7273
0500000US01067,01067,"Henry County, Alabama",112600,11903
0500000US01069,01069,"Houston County, Alabama",127100,2585
0500000US01071,01071,"Jackson County, Alabama",105000,4826
0500000US01073,01073,"Jefferson County, Alabama",149000,2002
0500000US01075,01075,"Lamar County, Alabama",71500,5038
0500000US01077,01077,"Lauderdale County, Alabama",126800,4507
0500000US01079,01079,"Lawrence County, Alabama",98700,6538
0500000US01081,01081,"Lee County, Alabama",157100,4206
0500000US01083,01083,"Limestone County, Alabama",146300,4427
0500000US01085,01085,"Lowndes County, Alabama",63000,7922
0500000US01087,01087,"Macon County, Alabama",77100,4474
0500000US01089,01089,"Madison County, Alabama",173400,2300
0500000US01091,01091,"Marengo County, Alabama",88100,8989
0500000US01093,01093,"Marion County, Alabama",87200,6601
0500000US01095,01095,"Marshall County, Alabama",118500,3851
0500000US01097,01097,"Mobile County, Alabama",124500,1814
0500000US01099,01099,"Monroe County, Alabama",88000,9365
0500000US01101,01101,"Montgomery County, Alabama",124100,2347
0500000US01103,01103,"Morgan County, Alabama",128200,4364
0500000US01105,01105,"Perry County, Alabama",69100,9876
0500000US01107,01107,"Pickens County, Alabama",91800,6022
0500000US01109,01109,"Pike County, Alabama",109200,8713
0500000US01111,01111,"Randolph County, Alabama",85200,4701
0500000US01113,01113,"Russell County, Alabama",114700,6257
0500000US01115,01115,"St. Clair County, Alabama",142800,4938
0500000US01117,01117,"Shelby County, Alabama",199500,2821
0500000US01119,01119,"Sumter County, Alabama",69500,9003
0500000US01121,01121,"Talladega County, Alabama",95200,5365
0500000US01123,01123,"Tallapoosa County, Alabama",107000,7345
0500000US01125,01125,"Tuscaloosa County, Alabama",161700,2430
0500000US01127,01127,"Walker County, Alabama",87300,2735
0500000US01129,01129,"Washington County, Alabama",83900,7143
0500000US01131,01131,"Wilcox County, Alabama",81600,4556
0500000US01133,01133,"Winston County, Alabama",82900,7518
0500000US02013,02013,"Aleutians East Borough, Alaska",124700,8702
0500000US02016,02016,"Aleutians West Census Area, Alaska",238800,48045
0500000US02020,02020,"Anchorage Municipality, Alaska",304500,5427
0500000US02050,02050,"Bethel Census Area, Alaska",152600,29989
0500000US02060,02060,"Bristol Bay Borough, Alaska",186700,22397
0500000US02068,02068,"Denali Borough, Alaska",224200,32280
0500000US02070,02070,"Dillingham Census Area, Alaska",189500,15406
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",230600,6832
0500000US02100,02100,"Haines Borough, Alaska",243100,35366
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",226800,17022
0500000US02110,02110,"Juneau City and Borough, Alaska",343100,8120
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",234600,6420
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",265700,7682
0500000US02150,02150,"Kodiak Island Borough, Alaska",267700,14317
0500000US02158,02158,"Kusilvak Census Area, Alaska",88600,5643
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",118500,11653
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",235600,2432
0500000US02180,02180,"Nome Census Area, Alaska",143000,15864
0500000US02185,02185,"North Slope Borough, Alaska",153900,15436
0500000US02188,02188,"Northwest Arctic Borough, Alaska",145800,22081
0500000US02195,02195,"Petersburg Borough, Alaska",205000,16068
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",169100,8260
0500000US02220,02220,"Sitka City and Borough, Alaska",350900,12649
0500000US02230,02230,"Skagway Municipality, Alaska",293800,22308
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",191700,12857
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",252200,24296
0500000US02275,02275,"Wrangell City and Borough, Alaska",194000,20159
0500000US02282,02282,"Yakutat City and Borough, Alaska",185000,36418
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",80600,4995
0500000US04001,04001,"Apache County, Arizona",72800,1929
0500000US04003,04003,"Cochise County, Arizona",144400,3822
0500000US04005,04005,"Coconino County, Arizona",241400,9243
0500000US04007,04007,"Gila County, Arizona",153600,8052
0500000US04009,04009,"Graham County, Arizona",123500,6562
0500000US04011,04011,"Greenlee County, Arizona",87500,5508
0500000US04012,04012,"La Paz County, Arizona",77400,10923
0500000US04013,04013,"Maricopa County, Arizona",225000,888
0500000US04015,04015,"Mohave County, Arizona",138700,3711
0500000US04017,04017,"Navajo County, Arizona",115100,3870
0500000US04019,04019,"Pima County, Arizona",166300,973
0500000US04021,04021,"Pinal County, Arizona",157200,1977
0500000US04023,04023,"Santa Cruz County, Arizona",138400,8553
0500000US04025,04025,"Yavapai County, Arizona",215000,4772
0500000US04027,04027,"Yuma County, Arizona",117000,2415
0500000US05001,05001,"Arkansas County, Arkansas",80300,3637
0500000US05003,05003,"Ashley County, Arkansas",68200,5364
0500000US05005,05005,"Baxter County, Arkansas",124400,4818
0500000US05007,05007,"Benton County, Arkansas",163000,2150
0500000US05009,05009,"Boone County, Arkansas",116600,4909
0500000US05011,05011,"Bradley County, Arkansas",74300,6349
0500000US05013,05013,"Calhoun County, Arkansas",71000,5779
0500000US05015,05015,"Carroll County, Arkansas",121100,9222
0500000US05017,05017,"Chicot County, Arkansas",63000,4788
0500000US05019,05019,"Clark County, Arkansas",95000,6006
0500000US05021,05021,"Clay County, Arkansas",70000,4216
0500000US05023,05023,"Cleburne County, Arkansas",127000,6333
0500000US05025,05025,"Cleveland County, Arkansas",87200,5837
0500000US05027,05027,"Columbia County, Arkansas",76200,8785
0500000US05029,05029,"Conway County, Arkansas",98700,8136
0500000US05031,05031,"Craighead County, Arkansas",134600,3187
0500000US05033,05033,"Crawford County, Arkansas",112500,4077
0500000US05035,05035,"Crittenden County, Arkansas",106300,5510
0500000US05037,05037,"Cross County, Arkansas",79400,4598
0500000US05039,05039,"Dallas County, Arkansas",64500,8635
0500000US05041,05041,"Desha County, Arkansas",56700,5240
0500000US05043,05043,"Drew County, Arkansas",93200,6570
0500000US05045,05045,"Faulkner County, Arkansas",153500,2814
0500000US05047,05047,"Franklin County, Arkansas",90600,6304
0500000US05049,05049,"Fulton County, Arkansas",91300,21723
0500000US05051,05051,"Garland County, Arkansas",131500,5120
0500000US05053,05053,"Grant County, Arkansas",123500,7770
0500000US05055,05055,"Greene County, Arkansas",110400,4417
0500000US05057,05057,"Hempstead County, Arkansas",76200,3461
0500000US05059,05059,"Hot Spring County, Arkansas",88900,4236
0500000US05061,05061,"Howard County, Arkansas",94100,8435
0500000US05063,05063,"Independence County, Arkansas",104400,7004
0500000US05065,05065,"Izard County, Arkansas",79400,4000
0500000US05067,05067,"Jackson County, Arkansas",61300,4595
0500000US05069,05069,"Jefferson County, Arkansas",81800,3017
