Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value
"Autauga County, Alabama",Autauga County,Alabama,72110,143000,159300,,235400
"Baldwin County, Alabama",Baldwin County,Alabama,73061,182000,213600,134800,384900
"Barbour County, Alabama",Barbour County,Alabama,45445,89300,,,
"Bibb County, Alabama",Bibb County,Alabama,61099,105500,,,
"Blount County, Alabama",Blount County,Alabama,58974,122200,140600,82700,228600
"Bullock County, Alabama",Bullock County,Alabama,42317,66800,,,
"Butler County, Alabama",Butler County,Alabama,47812,88800,,,
"Calhoun County, Alabama",Calhoun County,Alabama,58788,110100,,,
"Chambers County, Alabama",Chambers County,Alabama,51434,86400,,,
"Cherokee County, Alabama",Cherokee County,Alabama,54671,116300,117300,55100,195100
"Chilton County, Alabama",Chilton County,Alabama,59036,98600,118400,54900,205100
"Choctaw County, Alabama",Choctaw County,Alabama,48466,69000,,,
"Clarke County, Alabama",Clarke County,Alabama,50851,93500,,,
"Clay County, Alabama",Clay County,Alabama,51364,89300,,,
"Cleburne County, Alabama",Cleburne County,Alabama,51607,111800,,,
"Coffee County, Alabama",Coffee County,Alabama,65863,147800,114400,,228800
"Colbert County, Alabama",Colbert County,Alabama,56372,108500,96500,50600,186200
"Conecuh County, Alabama",Conecuh County,Alabama,39554,76100,,,
"Coosa County, Alabama",Coosa County,Alabama,48059,87300,,,
"Covington County, Alabama",Covington County,Alabama,53372,96200,,,
"Crenshaw County, Alabama",Crenshaw County,Alabama,52395,76800,,,
"Cullman County, Alabama",Cullman County,Alabama,55135,121900,,,
"Dale County, Alabama",Dale County,Alabama,57087,108000,,,
"Dallas County, Alabama",Dallas County,Alabama,44023,80800,,,
"DeKalb County, Alabama",DeKalb County,Alabama,52462,102900,,,
"Elmore County, Alabama",Elmore County,Alabama,71437,155300,163300,88500,278600
"Escambia County, Alabama",Escambia County,Alabama,48727,94500,,,
"Etowah County, Alabama",Etowah County,Alabama,55354,105100,103100,,175600
"Fayette County, Alabama",Fayette County,Alabama,50889,83200,,,
"Franklin County, Alabama",Franklin County,Alabama,50902,87600,,,
"Geneva County, Alabama",Geneva County,Alabama,51025,87800,,,
"Greene County, Alabama",Greene County,Alabama,34525,67700,88500,,
"Hale County, Alabama",Hale County,Alabama,50103,88800,,,
"Henry County, Alabama",Henry County,Alabama,58905,112600,,,
"Houston County, Alabama",Houston County,Alabama,61526,127100,137400,,247000
"Jackson County, Alabama",Jackson County,Alabama,50956,105000,,,
"Jefferson County, Alabama",Jefferson County,Alabama,71979,149000,120600,,291500
"Lamar County, Alabama",Lamar County,Alabama,50252,71500,,,
"Lauderdale County, Alabama",Lauderdale County,Alabama,60437,126800,119400,56100,226400
"Lawrence County, Alabama",Lawrence County,Alabama,55399,98700,,,
"Lee County, Alabama",Lee County,Alabama,66708,157100,188100,118100,322400
"Limestone County, Alabama",Limestone County,Alabama,70378,146300,157300,,273000
"Lowndes County, Alabama",Lowndes County,Alabama,44985,63000,,,
"Macon County, Alabama",Macon County,Alabama,47570,77100,,,
"Madison County, Alabama",Madison County,Alabama,83287,173400,160900,,
"Marengo County, Alabama",Marengo County,Alabama,50809,88100,,,
"Marion County, Alabama",Marion County,Alabama,51388,87200,,,
"Marshall County, Alabama",Marshall County,Alabama,59040,118500,,,
"Mobile County, Alabama",Mobile County,Alabama,62172,124500,119700,,204600
"Monroe County, Alabama",Monroe County,Alabama,41827,88000,,,
"Montgomery County, Alabama",Montgomery County,Alabama,65224,124100,84900,28900,192400
"Morgan County, Alabama",Morgan County,Alabama,62360,128200,,,
"Perry County, Alabama",Perry County,Alabama,34458,69100,,,
"Pickens County, Alabama",Pickens County,Alabama,49322,91800,,,
"Pike County, Alabama",Pike County,Alabama,52425,109200,128700,69400,211400
"Randolph County, Alabama",Randolph County,Alabama,50800,85200,,,
"Russell County, Alabama",Russell County,Alabama,52540,114700,91100,42700,181300
"St. Clair County, Alabama",St. Clair County,Alabama,64550,142800,,,
"Shelby County, Alabama",Shelby County,Alabama,93021,199500,216100,139200,356000
"Sumter County, Alabama",Sumter County,Alabama,34484,69500,,,
"Talladega County, Alabama",Talladega County,Alabama,52793,95200,96000,40200,193200
"Tallapoosa County, Alabama",Tallapoosa County,Alabama,54460,107000,120100,41800,355200
"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,66856,161700,159700,89800,274100
"Walker County, Alabama",Walker County,Alabama,52796,87300,89400,35700,179200
"Washington County, Alabama",Washington County,Alabama,55143,83900,,,
"Wilcox County, Alabama",Wilcox County,Alabama,39932,81600,,,
"Winston County, Alabama",Winston County,Alabama,48797,82900,,,
"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,78156,124700,,,
"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,101542,238800,,,
"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,105010,304500,,,
"Bethel Census Area, Alaska",Bethel Census Area,Alaska,67827,152600,,,
"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,93172,186700,,,
"Denali Borough, Alaska",Denali Borough,Alaska,90822,224200,,,
"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,72392,189500,,,
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,91968,230600,253800,166000,347200
"Haines Borough, Alaska",Haines Borough,Alaska,84311,243100,,,
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,72020,226800,,,
"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,106849,343100,,,
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,82690,234600,245900,175100,361600
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,83221,265700,286800,185800,418700
"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,88572,267700,334100,234200,451000
"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,47396,88600,,,
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,62034,118500,,,
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,88473,235600,,,
"Nome Census Area, Alaska",Nome Census Area,Alaska,69905,143000,,,
"North Slope Borough, Alaska",North Slope Borough,Alaska,94748,153900,,,
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,79496,145800,,,
"Petersburg Borough, Alaska",Petersburg Borough,Alaska,83850,205000,,,
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,65973,169100,,,
"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,84007,350900,,,
"Skagway Municipality, Alaska",Skagway Municipality,Alaska,81260,293800,,,
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,74772,191700,,,
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska,99003,252200,,,
"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,67544,194000,,,
"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,70348,185000,,,
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,51731,80600,,,
"Apache County, Arizona",Apache County,Arizona,43510,72800,159500,92000,263600
"Cochise County, Arizona",Cochise County,Arizona,61398,144400,143400,74200,237800
"Coconino County, Arizona",Coconino County,Arizona,72255,241400,353200,231300,545700
"Gila County, Arizona",Gila County,Arizona,54167,153600,206700,,345000
