Geography,County,state,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
"Autauga County, Alabama",Autauga County, Alabama,143000,6496
"Baldwin County, Alabama",Baldwin County, Alabama,182000,3992
"Barbour County, Alabama",Barbour County, Alabama,89300,5605
"Bibb County, Alabama",Bibb County, Alabama,105500,12056
"Blount County, Alabama",Blount County, Alabama,122200,4169
"Bullock County, Alabama",Bullock County, Alabama,66800,9883
"Butler County, Alabama",Butler County, Alabama,88800,7151
"Calhoun County, Alabama",Calhoun County, Alabama,110100,3241
"Chambers County, Alabama",Chambers County, Alabama,86400,4374
"Cherokee County, Alabama",Cherokee County, Alabama,116300,6948
"Chilton County, Alabama",Chilton County, Alabama,98600,6349
"Choctaw County, Alabama",Choctaw County, Alabama,69000,6510
"Clarke County, Alabama",Clarke County, Alabama,93500,12384
"Clay County, Alabama",Clay County, Alabama,89300,8181
"Cleburne County, Alabama",Cleburne County, Alabama,111800,7749
"Coffee County, Alabama",Coffee County, Alabama,147800,7279
"Colbert County, Alabama",Colbert County, Alabama,108500,5071
"Conecuh County, Alabama",Conecuh County, Alabama,76100,4781
"Coosa County, Alabama",Coosa County, Alabama,87300,16101
"Covington County, Alabama",Covington County, Alabama,96200,4875
"Crenshaw County, Alabama",Crenshaw County, Alabama,76800,4381
"Cullman County, Alabama",Cullman County, Alabama,121900,5215
"Dale County, Alabama",Dale County, Alabama,108000,5297
"Dallas County, Alabama",Dallas County, Alabama,80800,4241
"DeKalb County, Alabama",DeKalb County, Alabama,102900,5534
"Elmore County, Alabama",Elmore County, Alabama,155300,5446
"Escambia County, Alabama",Escambia County, Alabama,94500,4247
"Etowah County, Alabama",Etowah County, Alabama,105100,3137
"Fayette County, Alabama",Fayette County, Alabama,83200,4986
"Franklin County, Alabama",Franklin County, Alabama,87600,4315
"Geneva County, Alabama",Geneva County, Alabama,87800,5009
"Greene County, Alabama",Greene County, Alabama,67700,5463
"Hale County, Alabama",Hale County, Alabama,88800,7273
"Henry County, Alabama",Henry County, Alabama,112600,11903
"Houston County, Alabama",Houston County, Alabama,127100,2585
"Jackson County, Alabama",Jackson County, Alabama,105000,4826
"Jefferson County, Alabama",Jefferson County, Alabama,149000,2002
"Lamar County, Alabama",Lamar County, Alabama,71500,5038
"Lauderdale County, Alabama",Lauderdale County, Alabama,126800,4507
"Lawrence County, Alabama",Lawrence County, Alabama,98700,6538
"Lee County, Alabama",Lee County, Alabama,157100,4206
"Limestone County, Alabama",Limestone County, Alabama,146300,4427
"Lowndes County, Alabama",Lowndes County, Alabama,63000,7922
"Macon County, Alabama",Macon County, Alabama,77100,4474
"Madison County, Alabama",Madison County, Alabama,173400,2300
"Marengo County, Alabama",Marengo County, Alabama,88100,8989
"Marion County, Alabama",Marion County, Alabama,87200,6601
"Marshall County, Alabama",Marshall County, Alabama,118500,3851
"Mobile County, Alabama",Mobile County, Alabama,124500,1814
"Monroe County, Alabama",Monroe County, Alabama,88000,9365
"Montgomery County, Alabama",Montgomery County, Alabama,124100,2347
"Morgan County, Alabama",Morgan County, Alabama,128200,4364
"Perry County, Alabama",Perry County, Alabama,69100,9876
"Pickens County, Alabama",Pickens County, Alabama,91800,6022
"Pike County, Alabama",Pike County, Alabama,109200,8713
"Randolph County, Alabama",Randolph County, Alabama,85200,4701
"Russell County, Alabama",Russell County, Alabama,114700,6257
"St. Clair County, Alabama",St. Clair County, Alabama,142800,4938
"Shelby County, Alabama",Shelby County, Alabama,199500,2821
"Sumter County, Alabama",Sumter County, Alabama,69500,9003
"Talladega County, Alabama",Talladega County, Alabama,95200,5365
"Tallapoosa County, Alabama",Tallapoosa County, Alabama,107000,7345
"Tuscaloosa County, Alabama",Tuscaloosa County, Alabama,161700,2430
"Walker County, Alabama",Walker County, Alabama,87300,2735
"Washington County, Alabama",Washington County, Alabama,83900,7143
"Wilcox County, Alabama",Wilcox County, Alabama,81600,4556
"Winston County, Alabama",Winston County, Alabama,82900,7518
"Aleutians East Borough, Alaska",Aleutians East Borough, Alaska,124700,8702
"Aleutians West Census Area, Alaska",Aleutians West Census Area, Alaska,238800,48045
"Anchorage Municipality, Alaska",Anchorage Municipality, Alaska,304500,5427
"Bethel Census Area, Alaska",Bethel Census Area, Alaska,152600,29989
"Bristol Bay Borough, Alaska",Bristol Bay Borough, Alaska,186700,22397
"Denali Borough, Alaska",Denali Borough, Alaska,224200,32280
"Dillingham Census Area, Alaska",Dillingham Census Area, Alaska,189500,15406
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough, Alaska,230600,6832
"Haines Borough, Alaska",Haines Borough, Alaska,243100,35366
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area, Alaska,226800,17022
"Juneau City and Borough, Alaska",Juneau City and Borough, Alaska,343100,8120
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough, Alaska,234600,6420
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough, Alaska,265700,7682
"Kodiak Island Borough, Alaska",Kodiak Island Borough, Alaska,267700,14317
"Kusilvak Census Area, Alaska",Kusilvak Census Area, Alaska,88600,5643
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough, Alaska,118500,11653
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough, Alaska,235600,2432
"Nome Census Area, Alaska",Nome Census Area, Alaska,143000,15864
"North Slope Borough, Alaska",North Slope Borough, Alaska,153900,15436
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough, Alaska,145800,22081
"Petersburg Borough, Alaska",Petersburg Borough, Alaska,205000,16068
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area, Alaska,169100,8260
"Sitka City and Borough, Alaska",Sitka City and Borough, Alaska,350900,12649
"Skagway Municipality, Alaska",Skagway Municipality, Alaska,293800,22308
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area, Alaska,191700,12857
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area, Alaska,252200,24296
"Wrangell City and Borough, Alaska",Wrangell City and Borough, Alaska,194000,20159
"Yakutat City and Borough, Alaska",Yakutat City and Borough, Alaska,185000,36418
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area, Alaska,80600,4995
"Apache County, Arizona",Apache County, Arizona,72800,1929
"Cochise County, Arizona",Cochise County, Arizona,144400,3822
"Coconino County, Arizona",Coconino County, Arizona,241400,9243
"Gila County, Arizona",Gila County, Arizona,153600,8052
"Graham County, Arizona",Graham County, Arizona,123500,6562
"Greenlee County, Arizona",Greenlee County, Arizona,87500,5508
"La Paz County, Arizona",La Paz County, Arizona,77400,10923
"Maricopa County, Arizona",Maricopa County, Arizona,225000,888
"Mohave County, Arizona",Mohave County, Arizona,138700,3711
"Navajo County, Arizona",Navajo County, Arizona,115100,3870
"Pima County, Arizona",Pima County, Arizona,166300,973
"Pinal County, Arizona",Pinal County, Arizona,157200,1977
"Santa Cruz County, Arizona",Santa Cruz County, Arizona,138400,8553
"Yavapai County, Arizona",Yavapai County, Arizona,215000,4772
"Yuma County, Arizona",Yuma County, Arizona,117000,2415
"Arkansas County, Arkansas",Arkansas County, Arkansas,80300,3637
"Ashley County, Arkansas",Ashley County, Arkansas,68200,5364
"Baxter County, Arkansas",Baxter County, Arkansas,124400,4818
"Benton County, Arkansas",Benton County, Arkansas,163000,2150
"Boone County, Arkansas",Boone County, Arkansas,116600,4909
"Bradley County, Arkansas",Bradley County, Arkansas,74300,6349
"Calhoun County, Arkansas",Calhoun County, Arkansas,71000,5779
"Carroll County, Arkansas",Carroll County, Arkansas,121100,9222
"Chicot County, Arkansas",Chicot County, Arkansas,63000,4788
"Clark County, Arkansas",Clark County, Arkansas,95000,6006
"Clay County, Arkansas",Clay County, Arkansas,70000,4216
"Cleburne County, Arkansas",Cleburne County, Arkansas,127000,6333
"Cleveland County, Arkansas",Cleveland County, Arkansas,87200,5837
"Columbia County, Arkansas",Columbia County, Arkansas,76200,8785
"Conway County, Arkansas",Conway County, Arkansas,98700,8136
"Craighead County, Arkansas",Craighead County, Arkansas,134600,3187
"Crawford County, Arkansas",Crawford County, Arkansas,112500,4077
"Crittenden County, Arkansas",Crittenden County, Arkansas,106300,5510
"Cross County, Arkansas",Cross County, Arkansas,79400,4598
"Dallas County, Arkansas",Dallas County, Arkansas,64500,8635
"Desha County, Arkansas",Desha County, Arkansas,56700,5240
"Drew County, Arkansas",Drew County, Arkansas,93200,6570
"Faulkner County, Arkansas",Faulkner County, Arkansas,153500,2814
"Franklin County, Arkansas",Franklin County, Arkansas,90600,6304
"Fulton County, Arkansas",Fulton County, Arkansas,91300,21723
"Garland County, Arkansas",Garland County, Arkansas,131500,5120
"Grant County, Arkansas",Grant County, Arkansas,123500,7770
"Greene County, Arkansas",Greene County, Arkansas,110400,4417
"Hempstead County, Arkansas",Hempstead County, Arkansas,76200,3461
"Hot Spring County, Arkansas",Hot Spring County, Arkansas,88900,4236
"Howard County, Arkansas",Howard County, Arkansas,94100,8435
"Independence County, Arkansas",Independence County, Arkansas,104400,7004
"Izard County, Arkansas",Izard County, Arkansas,79400,4000
"Jackson County, Arkansas",Jackson County, Arkansas,61300,4595
"Jefferson County, Arkansas",Jefferson County, Arkansas,81800,3017
"Johnson County, Arkansas",Johnson County, Arkansas,95400,4150
"Lafayette County, Arkansas",Lafayette County, Arkansas,65900,7290
"Lawrence County, Arkansas",Lawrence County, Arkansas,77100,3620
"Lee County, Arkansas",Lee County, Arkansas,67100,4735
"Lincoln County, Arkansas",Lincoln County, Arkansas,66100,7512
"Little River County, Arkansas",Little River County, Arkansas,72400,4919
"Logan County, Arkansas",Logan County, Arkansas,90400,5185
"Lonoke County, Arkansas",Lonoke County, Arkansas,135100,3825
"Madison County, Arkansas",Madison County, Arkansas,108500,9307
"Marion County, Arkansas",Marion County, Arkansas,117300,9068
"Miller County, Arkansas",Miller County, Arkansas,108500,7112
"Mississippi County, Arkansas",Mississippi County, Arkansas,81400,2561
"Monroe County, Arkansas",Monroe County, Arkansas,54500,4563
"Montgomery County, Arkansas",Montgomery County, Arkansas,96900,13221
"Nevada County, Arkansas",Nevada County, Arkansas,62700,3941
"Newton County, Arkansas",Newton County, Arkansas,91600,11241
"Ouachita County, Arkansas",Ouachita County, Arkansas,67900,5222
"Perry County, Arkansas",Perry County, Arkansas,99100,9422
"Phillips County, Arkansas",Phillips County, Arkansas,67100,3578
"Pike County, Arkansas",Pike County, Arkansas,78600,4383
"Poinsett County, Arkansas",Poinsett County, Arkansas,78200,4863
"Polk County, Arkansas",Polk County, Arkansas,87100,4860
"Pope County, Arkansas",Pope County, Arkansas,126100,5456
"Prairie County, Arkansas",Prairie County, Arkansas,65300,4566
"Pulaski County, Arkansas",Pulaski County, Arkansas,148300,2326
"Randolph County, Arkansas",Randolph County, Arkansas,81500,5462
"St. Francis County, Arkansas",St. Francis County, Arkansas,61900,4298
"Saline County, Arkansas",Saline County, Arkansas,147400,2847
"Scott County, Arkansas",Scott County, Arkansas,69800,7282
"Searcy County, Arkansas",Searcy County, Arkansas,89700,15392
"Sebastian County, Arkansas",Sebastian County, Arkansas,116800,3988
"Sevier County, Arkansas",Sevier County, Arkansas,75400,4580
"Sharp County, Arkansas",Sharp County, Arkansas,79900,5590
"Stone County, Arkansas",Stone County, Arkansas,107300,21331
"Union County, Arkansas",Union County, Arkansas,79900,4951
"Van Buren County, Arkansas",Van Buren County, Arkansas,98900,10186
"Washington County, Arkansas",Washington County, Arkansas,162900,2760
"White County, Arkansas",White County, Arkansas,116400,5086
"Woodruff County, Arkansas",Woodruff County, Arkansas,63700,4009
"Yell County, Arkansas",Yell County, Arkansas,100300,9489
"Alameda County, California",Alameda County, California,649100,3303
"Alpine County, California",Alpine County, California,343800,37678
"Amador County, California",Amador County, California,278600,7641
"Butte County, California",Butte County, California,238200,3917
"Calaveras County, California",Calaveras County, California,273400,12074
"Colusa County, California",Colusa County, California,223600,12311
"Contra Costa County, California",Contra Costa County, California,522300,5400
"Del Norte County, California",Del Norte County, California,185900,13895
"El Dorado County, California",El Dorado County, California,405900,6705
"Fresno County, California",Fresno County, California,220600,2197
"Glenn County, California",Glenn County, California,214600,13256
"Humboldt County, California",Humboldt County, California,285800,4628
"Imperial County, California",Imperial County, California,167700,3108
"Inyo County, California",Inyo County, California,243100,20361
"Kern County, California",Kern County, California,190600,2222
"Kings County, California",Kings County, California,185600,5792
"Lake County, California",Lake County, California,182000,7135
"Lassen County, California",Lassen County, California,177500,11132
"Los Angeles County, California",Los Angeles County, California,495800,1386
"Madera County, California",Madera County, California,220400,5593
"Marin County, California",Marin County, California,908800,8635
"Mariposa County, California",Mariposa County, California,259500,14977
"Mendocino County, California",Mendocino County, California,338000,8944
"Merced County, California",Merced County, California,196200,5679
"Modoc County, California",Modoc County, California,143100,29558
"Mono County, California",Mono County, California,311700,38126
"Monterey County, California",Monterey County, California,441000,6591
"Napa County, California",Napa County, California,560500,8513
"Nevada County, California",Nevada County, California,379800,6995
"Orange County, California",Orange County, California,620500,2291
"Placer County, California",Placer County, California,413300,4354
"Plumas County, California",Plumas County, California,228900,10663
"Riverside County, California",Riverside County, California,304500,1948
"Sacramento County, California",Sacramento County, California,299900,1958
"San Benito County, California",San Benito County, California,459700,8439
"San Bernardino County, California",San Bernardino County, California,280200,1917
"San Diego County, California",San Diego County, California,484900,2026
"San Francisco County, California",San Francisco County, California,927400,7229
"San Joaquin County, California",San Joaquin County, California,281100,3375
"San Luis Obispo County, California",San Luis Obispo County, California,499800,9363
"San Mateo County, California",San Mateo County, California,917700,6273
"Santa Barbara County, California",Santa Barbara County, California,509400,17381
"Santa Clara County, California",Santa Clara County, California,829600,4266
"Santa Cruz County, California",Santa Cruz County, California,659900,9193
"Shasta County, California",Shasta County, California,233500,4093
"Sierra County, California",Sierra County, California,157100,32562
"Siskiyou County, California",Siskiyou County, California,176600,9205
"Solano County, California",Solano County, California,342000,3580
"Sonoma County, California",Sonoma County, California,513300,7447
"Stanislaus County, California",Stanislaus County, California,244100,3173
"Sutter County, California",Sutter County, California,234500,5855
"Tehama County, California",Tehama County, California,191400,8748
"Trinity County, California",Trinity County, California,286500,21776
"Tulare County, California",Tulare County, California,180200,3248
"Tuolumne County, California",Tuolumne County, California,273500,8544
"Ventura County, California",Ventura County, California,520300,5294
"Yolo County, California",Yolo County, California,370800,6354
"Yuba County, California",Yuba County, California,207100,11070
"Adams County, Colorado",Adams County, Colorado,241900,2496
"Alamosa County, Colorado",Alamosa County, Colorado,152900,8445
"Arapahoe County, Colorado",Arapahoe County, Colorado,292900,2254
"Archuleta County, Colorado",Archuleta County, Colorado,274000,14612
"Baca County, Colorado",Baca County, Colorado,79800,10268
"Bent County, Colorado",Bent County, Colorado,77700,9909
"Boulder County, Colorado",Boulder County, Colorado,423500,6583
"Broomfield County, Colorado",Broomfield County, Colorado,356500,5844
"Chaffee County, Colorado",Chaffee County, Colorado,313200,15883
"Cheyenne County, Colorado",Cheyenne County, Colorado,90000,20670
"Clear Creek County, Colorado",Clear Creek County, Colorado,317000,31458
"Conejos County, Colorado",Conejos County, Colorado,113100,7619
"Costilla County, Colorado",Costilla County, Colorado,114200,8808
"Crowley County, Colorado",Crowley County, Colorado,79700,18169
"Custer County, Colorado",Custer County, Colorado,248300,27950
"Delta County, Colorado",Delta County, Colorado,206200,12215
"Denver County, Colorado",Denver County, Colorado,322900,3623
"Dolores County, Colorado",Dolores County, Colorado,122000,22984
"Douglas County, Colorado",Douglas County, Colorado,407100,3821
"Eagle County, Colorado",Eagle County, Colorado,471100,23502
"Elbert County, Colorado",Elbert County, Colorado,380000,10822
"El Paso County, Colorado",El Paso County, Colorado,238200,1725
"Fremont County, Colorado",Fremont County, Colorado,160000,4117
"Garfield County, Colorado",Garfield County, Colorado,323800,18671
"Gilpin County, Colorado",Gilpin County, Colorado,301700,25614
"Grand County, Colorado",Grand County, Colorado,285000,28584
"Gunnison County, Colorado",Gunnison County, Colorado,313900,24572
"Hinsdale County, Colorado",Hinsdale County, Colorado,325400,39151
"Huerfano County, Colorado",Huerfano County, Colorado,137400,29260
"Jackson County, Colorado",Jackson County, Colorado,171300,30741
"Jefferson County, Colorado",Jefferson County, Colorado,334100,2282
"Kiowa County, Colorado",Kiowa County, Colorado,83200,9091
"Kit Carson County, Colorado",Kit Carson County, Colorado,130200,21252
"Lake County, Colorado",Lake County, Colorado,197600,18589
"La Plata County, Colorado",La Plata County, Colorado,356700,8670
"Larimer County, Colorado",Larimer County, Colorado,306600,4381
"Las Animas County, Colorado",Las Animas County, Colorado,145900,10807
"Lincoln County, Colorado",Lincoln County, Colorado,132100,21633
"Logan County, Colorado",Logan County, Colorado,148700,7791
"Mesa County, Colorado",Mesa County, Colorado,207900,4135
"Mineral County, Colorado",Mineral County, Colorado,279000,23044
"Moffat County, Colorado",Moffat County, Colorado,169200,8742
"Montezuma County, Colorado",Montezuma County, Colorado,197900,11595
"Montrose County, Colorado",Montrose County, Colorado,202500,8605
"Morgan County, Colorado",Morgan County, Colorado,162900,7177
"Otero County, Colorado",Otero County, Colorado,91800,6838
"Ouray County, Colorado",Ouray County, Colorado,420600,32842
"Park County, Colorado",Park County, Colorado,262300,16750
"Phillips County, Colorado",Phillips County, Colorado,132600,19586
"Pitkin County, Colorado",Pitkin County, Colorado,593600,117537
"Prowers County, Colorado",Prowers County, Colorado,94400,10756
"Pueblo County, Colorado",Pueblo County, Colorado,148000,2356
"Rio Blanco County, Colorado",Rio Blanco County, Colorado,201000,18424
"Rio Grande County, Colorado",Rio Grande County, Colorado,143000,15973
"Routt County, Colorado",Routt County, Colorado,460600,36872
"Saguache County, Colorado",Saguache County, Colorado,150100,21547
"San Juan County, Colorado",San Juan County, Colorado,269400,53957
"San Miguel County, Colorado",San Miguel County, Colorado,485000,48527
"Sedgwick County, Colorado",Sedgwick County, Colorado,91500,8112
"Summit County, Colorado",Summit County, Colorado,547700,33439
"Teller County, Colorado",Teller County, Colorado,261100,15856
"Washington County, Colorado",Washington County, Colorado,120300,10961
"Weld County, Colorado",Weld County, Colorado,245000,2661
"Yuma County, Colorado",Yuma County, Colorado,148800,18504
"Fairfield County, Connecticut",Fairfield County, Connecticut,417800,4822
"Hartford County, Connecticut",Hartford County, Connecticut,235300,1700
"Litchfield County, Connecticut",Litchfield County, Connecticut,250100,4037
"Middlesex County, Connecticut",Middlesex County, Connecticut,283700,3516
"New Haven County, Connecticut",New Haven County, Connecticut,244400,1989
"New London County, Connecticut",New London County, Connecticut,238900,2928
"Tolland County, Connecticut",Tolland County, Connecticut,247500,3728
"Windham County, Connecticut",Windham County, Connecticut,196800,3612
"Kent County, Delaware",Kent County, Delaware,205800,3529
"New Castle County, Delaware",New Castle County, Delaware,248100,2110
"Sussex County, Delaware",Sussex County, Delaware,242900,4185
"District of Columbia, District of Columbia",District of Columbia, District of Columbia,537400,7150
"Alachua County, Florida",Alachua County, Florida,167000,3127
"Baker County, Florida",Baker County, Florida,121100,11823
"Bay County, Florida",Bay County, Florida,166400,3324
"Bradford County, Florida",Bradford County, Florida,90500,8025
"Brevard County, Florida",Brevard County, Florida,162400,1836
"Broward County, Florida",Broward County, Florida,223400,1973
"Calhoun County, Florida",Calhoun County, Florida,80000,7651
"Charlotte County, Florida",Charlotte County, Florida,165200,3334
"Citrus County, Florida",Citrus County, Florida,117400,3252
"Clay County, Florida",Clay County, Florida,165300,2723
"Collier County, Florida",Collier County, Florida,316200,5943
"Columbia County, Florida",Columbia County, Florida,112500,4852
"DeSoto County, Florida",DeSoto County, Florida,83700,3293
"Dixie County, Florida",Dixie County, Florida,71600,8743
"Duval County, Florida",Duval County, Florida,156200,1541
"Escambia County, Florida",Escambia County, Florida,126700,3056
"Flagler County, Florida",Flagler County, Florida,188400,4084
"Franklin County, Florida",Franklin County, Florida,135300,15780
"Gadsden County, Florida",Gadsden County, Florida,101300,6118
"Gilchrist County, Florida",Gilchrist County, Florida,96700,9063
"Glades County, Florida",Glades County, Florida,80100,10547
"Gulf County, Florida",Gulf County, Florida,151400,22502
"Hamilton County, Florida",Hamilton County, Florida,73500,6353
"Hardee County, Florida",Hardee County, Florida,81200,5287
"Hendry County, Florida",Hendry County, Florida,79700,7257
"Hernando County, Florida",Hernando County, Florida,120600,2461
"Highlands County, Florida",Highlands County, Florida,87900,2810
"Hillsborough County, Florida",Hillsborough County, Florida,179500,1715
"Holmes County, Florida",Holmes County, Florida,92400,9122
