Geography,County,State,Latitude,Longitude
"Autauga County, Alabama",Autauga County,Alabama,32.5791817,-86.49965460000001
"Baldwin County, Alabama",Baldwin County,Alabama,30.6010744,-87.77633329999999
"Barbour County, Alabama",Barbour County,Alabama,31.8172896,-85.35496499999999
"Bibb County, Alabama",Bibb County,Alabama,32.9562798,-87.14228949999999
"Blount County, Alabama",Blount County,Alabama,34.0145152,-86.49965460000001
"Bullock County, Alabama",Bullock County,Alabama,32.0573536,-85.7256372
"Butler County, Alabama",Butler County,Alabama,31.6760284,-86.6611083
"Calhoun County, Alabama",Calhoun County,Alabama,33.7701576,-85.80766
"Chambers County, Alabama",Chambers County,Alabama,32.9028048,-85.35496499999999
"Cherokee County, Alabama",Cherokee County,Alabama,34.1665322,-85.684578
"Chilton County, Alabama",Chilton County,Alabama,32.944392,-86.6611083
"Choctaw County, Alabama",Choctaw County,Alabama,32.0716631,-88.24611829999999
"Clarke County, Alabama",Clarke County,Alabama,31.7002461,-87.77633329999999
"Clay County, Alabama",Clay County,Alabama,33.279527,-85.84862360000001
"Cleburne County, Alabama",Cleburne County,Alabama,33.6261707,-85.52002399999999
"Coffee County, Alabama",Coffee County,Alabama,31.4751172,-86.0121573
"Colbert County, Alabama",Colbert County,Alabama,34.7117567,-87.89424509999999
"Conecuh County, Alabama",Conecuh County,Alabama,31.501571,-86.9824288
"Coosa County, Alabama",Coosa County,Alabama,32.8897772,-86.2196937
"Covington County, Alabama",Covington County,Alabama,31.3066438,-86.49965460000001
"Crenshaw County, Alabama",Crenshaw County,Alabama,31.6671872,-86.3376761
"Cullman County, Alabama",Cullman County,Alabama,34.2011537,-86.8220341
"Dale County, Alabama",Dale County,Alabama,31.4645298,-85.684578
"Dallas County, Alabama",Dallas County,Alabama,32.2332138,-87.14228949999999
"DeKalb County, Alabama",DeKalb County,Alabama,34.5211397,-85.684578
"Elmore County, Alabama",Elmore County,Alabama,32.5647083,-86.0121573
"Escambia County, Alabama",Escambia County,Alabama,31.1394734,-87.14228949999999
"Etowah County, Alabama",Etowah County,Alabama,34.0455341,-86.05296039999999
"Fayette County, Alabama",Fayette County,Alabama,33.6871392,-87.77633329999999
"Franklin County, Alabama",Franklin County,Alabama,34.3967457,-87.6186379
"Geneva County, Alabama",Geneva County,Alabama,31.0990456,-85.684578
"Greene County, Alabama",Greene County,Alabama,32.9718107,-87.9334803
"Hale County, Alabama",Hale County,Alabama,32.7859102,-87.6186379
"Henry County, Alabama",Henry County,Alabama,31.4469377,-85.1894045
"Houston County, Alabama",Houston County,Alabama,31.1318686,-85.31362179999999
"Jackson County, Alabama",Jackson County,Alabama,34.7090388,-86.0121573
"Jefferson County, Alabama",Jefferson County,Alabama,33.4914122,-86.9824288
"Lamar County, Alabama",Lamar County,Alabama,33.6923649,-88.0900762
"Lauderdale County, Alabama",Lauderdale County,Alabama,34.8840876,-87.658113
"Lawrence County, Alabama",Lawrence County,Alabama,34.567428,-87.30161319999999
"Lee County, Alabama",Lee County,Alabama,32.5888702,-85.39627689999999
"Limestone County, Alabama",Limestone County,Alabama,34.78000720000001,-86.9423801
"Lowndes County, Alabama",Lowndes County,Alabama,32.221464,-86.6611083
"Macon County, Alabama",Macon County,Alabama,32.3731182,-85.684578
"Madison County, Alabama",Madison County,Alabama,34.72397309999999,-86.49965460000001
"Marengo County, Alabama",Marengo County,Alabama,32.2459085,-87.77633329999999
"Marion County, Alabama",Marion County,Alabama,34.0441174,-87.77633329999999
"Marshall County, Alabama",Marshall County,Alabama,34.3652297,-86.3376761
"Mobile County, Alabama",Mobile County,Alabama,30.6082227,-88.24611829999999
"Monroe County, Alabama",Monroe County,Alabama,31.5119068,-87.460397
"Montgomery County, Alabama",Montgomery County,Alabama,32.2077447,-86.17517590000001
"Morgan County, Alabama",Morgan County,Alabama,34.4240875,-86.86218269999999
"Perry County, Alabama",Perry County,Alabama,32.598888,-87.30161319999999
"Pickens County, Alabama",Pickens County,Alabama,33.3339954,-88.0900762
"Pike County, Alabama",Pike County,Alabama,31.8395163,-86.0121573
"Randolph County, Alabama",Randolph County,Alabama,33.2681523,-85.52002399999999
"Russell County, Alabama",Russell County,Alabama,32.3552497,-85.1894045
"St. Clair County, Alabama",St. Clair County,Alabama,33.6530112,-86.3376761
"Shelby County, Alabama",Shelby County,Alabama,33.3039292,-86.6611083
"Sumter County, Alabama",Sumter County,Alabama,32.6155551,-88.24611829999999
"Talladega County, Alabama",Talladega County,Alabama,33.4231716,-86.1344697
"Tallapoosa County, Alabama",Tallapoosa County,Alabama,32.9201244,-85.84862360000001
"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,33.3227653,-87.460397
"Walker County, Alabama",Walker County,Alabama,33.8563605,-87.30161319999999
"Washington County, Alabama",Washington County,Alabama,31.3422346,-88.24611829999999
"Wilcox County, Alabama",Wilcox County,Alabama,32.0105439,-87.3413599
"Winston County, Alabama",Winston County,Alabama,34.1690087,-87.3413599
"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,55.53880059999999,-161.8988535
"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,52.3232697,-174.1596072
"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,61.2180556,-149.9002778
"Bethel Census Area, Alaska",Bethel Census Area,Alaska,61.09344600000001,-160.8640773
"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,58.7578504,-156.7792687
"Denali Borough, Alaska",Denali Borough,Alaska,63.82571729999999,-149.7317835
"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,59.80677919999999,-157.7242585
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,64.9526102,-146.4744154
"Haines Borough, Alaska",Haines Borough,Alaska,59.1392237,-135
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,58.31765049999999,-136.0390896
"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,58.3019444,-134.4197221
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,60.0858486,-151.382264
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,55.5103345,-131.389286
"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,57.53693430000001,-153.2659352
"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,62.1458336,-162.891919
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,58.0458356,-156.5982286
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,62.2599347,-150.1729153
"Nome Census Area, Alaska",Nome Census Area,Alaska,64.8329974,-164.256602
"North Slope Borough, Alaska",North Slope Borough,Alaska,69.05787579999999,-152.8628274
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,67.2872981,-160.0342624
"Petersburg Borough, Alaska",Petersburg Borough,Alaska,56.8124267,-132.9554472
