RegionName,State,statename,geography,Metro,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
Los Angeles County,CA,California,"Los Angeles County, California",Los Angeles-Long Beach-Anaheim,0,616500,0.001787455,0.009497298,0.044384211,0.068234662,0.039647398,2018-12,2018-Q4,616500,0,2018-12
Cook County,IL,Illinois,"Cook County, Illinois",Chicago-Naperville-Elgin,1,223000,0.003148898,0.007226739,0.035283194,0.05172273,-0.002477125,2007-02,2007-Q1,267000,-0.164794007,2004-05
Harris County,TX,Texas,"Harris County, Texas",Houston-The Woodlands-Sugar Land,2,188100,0.004271223,0.014016173,0.062111801,0.074709263,0.035816668,2018-12,2018-Q4,188100,0,2018-12
Maricopa County,AZ,Arizona,"Maricopa County, Arizona",Phoenix-Mesa-Scottsdale,3,270300,0.004832714,0.018079096,0.075606844,0.072145026,0.034365202,2006-05,2006-Q2,290300,-0.068894247,2005-10
San Diego County,CA,California,"San Diego County, California",San Diego-Carlsbad,4,592700,0.001182432,0.004916921,0.047543302,0.063138968,0.042288955,2018-12,2018-Q4,592700,0,2018-12
Orange County,CA,California,"Orange County, California",Los Angeles-Long Beach-Anaheim,5,725900,0.002762813,0.00442784,0.042660155,0.048918441,0.035303014,2018-12,2018-Q4,725900,0,2018-12
Kings County,NY,New York,"Kings County, New York",New York-Newark-Jersey City,6,782300,-0.001531589,-0.001149132,0.03670819,0.075877194,0.046852724,2018-10,2018-Q4,784300,-0.002550045,2018-05
Miami-Dade County,FL,Florida,"Miami-Dade County, Florida",Miami-Fort Lauderdale-West Palm Beach,7,302900,0.003644798,0.016442953,0.074113475,0.111433707,0.033200918,2007-01,2007-Q1,325100,-0.068286681,2006-04
Dallas County,TX,Texas,"Dallas County, Texas",Dallas-Fort Worth-Arlington,8,208400,0.016089712,0.03888335,0.131378936,0.122003006,0.054830432,2018-12,2018-Q4,208400,0,2018-12
Queens County,NY,New York,"Queens County, New York",New York-Newark-Jersey City,9,645100,0.001708075,0.010494987,0.066457266,0.076851622,0.037157227,2018-12,2018-Q4,645100,0,2018-12
Riverside County,CA,California,"Riverside County, California",Riverside-San Bernardino-Ontario,10,378000,0.003984064,-0.001321004,0.048543689,0.070006968,0.04121459,2006-07,2006-Q3,426900,-0.114546732,2005-04
San Bernardino County,CA,California,"San Bernardino County, California",Riverside-San Bernardino-Ontario,11,346000,0.004062681,0.007864841,0.062653563,0.083502738,0.042728651,2006-07,2006-Q3,390300,-0.113502434,2005-09
Clark County,NV,Nevada,"Clark County, Nevada",Las Vegas-Henderson-Paradise,12,278000,0.003972553,0.021683205,0.129622105,0.104667605,0.036257972,2006-06,2006-Q2,316800,-0.122474747,2004-12
King County,WA,Washington,"King County, Washington",Seattle-Tacoma-Bellevue,13,618100,-0.001453958,-0.01167253,0.01394357,0.107602184,0.048479157,2018-06,2018-Q2,631000,-0.02044374,2018-01
Wayne County,MI,Michigan,"Wayne County, Michigan",Detroit-Warren-Dearborn,14,80200,0.011349306,0.046997389,0.215151515,0.171155593,0.007535004,2005-12,2005-Q4,116200,-0.309810671,1999-06
Tarrant County,TX,Texas,"Tarrant County, Texas",Dallas-Fort Worth-Arlington,15,211200,0.007153076,0.027737226,0.105180534,0.097068604,0.047410428,2018-12,2018-Q4,211200,0,2018-12
Santa Clara County,CA,California,"Santa Clara County, California",San Jose-Sunnyvale-Santa Clara,16,1275900,-0.005998754,-0.014368482,0.097737245,0.112207515,0.072829177,2018-09,2018-Q3,1294500,-0.014368482,2018-06
Broward County,FL,Florida,"Broward County, Florida",Miami-Fort Lauderdale-West Palm Beach,17,264200,0.003799392,0.014203455,0.093995859,0.113270923,0.037461313,2006-10,2006-Q4,292400,-0.096443228,2005-10
Bexar County,TX,Texas,"Bexar County, Texas",San Antonio-New Braunfels,18,179900,0.00390625,0.017533937,0.068289786,0.070444706,0.034946854,2018-12,2018-Q4,179900,0,2018-12
New York County,NY,New York,"New York County, New York",New York-Newark-Jersey City,19,1256400,-0.005383154,-0.020885287,-0.038420328,0.02929469,0.026346162,2017-07,2017-Q3,1328800,-0.05448525,2015-09
Philadelphia County,PA,Pennsylvania,"Philadelphia County, Pennsylvania",Philadelphia-Camden-Wilmington,20,158400,0.011494253,0.038007864,0.125799574,0.089469549,0.03244752,2018-12,2018-Q4,158400,0,2018-12
Alameda County,CA,California,"Alameda County, California",San Francisco-Oakland-Hayward,21,877000,-0.000797539,0.002858776,0.062257752,0.090762633,0.061948641,2018-10,2018-Q4,878500,-0.001707456,2018-10
Middlesex County,MA,Massachusetts,"Middlesex County, Massachusetts",Boston-Cambridge-Newton,22,547000,0.006624954,0.01258793,0.060899922,0.065933322,0.040517454,2018-12,2018-Q4,547000,0,2018-12
Suffolk County,NY,New York,"Suffolk County, New York",New York-Newark-Jersey City,23,390000,0.008012406,0.02739726,0.031200423,0.029704757,0.004655479,2006-05,2006-Q2,448000,-0.129464286,2004-10
Sacramento County,CA,California,"Sacramento County, California",Sacramento--Roseville--Arden-Arcade,24,366100,0.003838772,0.009095921,0.046897341,0.076192834,0.045820019,2005-11,2005-Q4,385800,-0.051062727,2005-04
Bronx County,NY,New York,"Bronx County, New York",New York-Newark-Jersey City,25,435800,0.006931608,0.026136096,0.142632407,0.062659764,0.024923637,2018-12,2018-Q4,435800,0,2018-12
Nassau County,NY,New York,"Nassau County, New York",New York-Newark-Jersey City,26,540200,0.005210272,0.020400453,0.079536371,0.06140723,0.023363635,2018-12,2018-Q4,540200,0,2018-12
Palm Beach County,FL,Florida,"Palm Beach County, Florida",Miami-Fort Lauderdale-West Palm Beach,27,276400,0.003266788,0.010972933,0.073398058,0.100671207,0.033244433,2006-06,2006-Q2,325100,-0.149800062,2005-05
Cuyahoga County,OH,Ohio,"Cuyahoga County, Ohio",Cleveland-Elyria,28,128800,0.00625,0.022222222,0.060082305,0.055534588,0.01263691,2005-07,2005-Q3,135100,-0.046632124,2003-10
Hillsborough County,FL,Florida,"Hillsborough County, Florida",Tampa-St. Petersburg-Clearwater,29,220600,0.005927953,0.018937644,0.081902894,0.103855154,0.031931802,2006-09,2006-Q3,230700,-0.043779801,2006-04
Allegheny County,PA,Pennsylvania,"Allegheny County, Pennsylvania",Pittsburgh,30,152800,0.005263158,0.01192053,0.076056338,0.065049266,0.035500849,2018-12,2018-Q4,152800,0,2018-12
Oakland County,MI,Michigan,"Oakland County, Michigan",Detroit-Warren-Dearborn,31,244800,0.002867677,-0.00040833,0.055627426,0.07264208,0.048053909,2018-08,2018-Q3,245200,-0.001631321,2018-08
