Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value,Latitude,Longitude,Avg Temperature (F),Max Temperature (F),Min Temperature (F),Avg Percipitation (in.),Min Humidity (%),Max Humidity (%),Avg Wind (mph)
"Autauga County, Alabama",Autauga County,Alabama,72110,143000,159300.0,,235400.0,32.5791817,-86.49965460000001,42.7752502515912,50.517500445246704,35.033000057935716,0.1997057659419503,67.42749881744385,85.57250118255615,8.669225089288355
"Baldwin County, Alabama",Baldwin County,Alabama,73061,182000,213600.0,134800.0,384900.0,30.6010744,-87.77633329999998,49.136000072956094,55.0130002617836,43.25899988412857,1.2580757347617564,64.61749935150146,86.7775011062622,14.520747658246755
"Barbour County, Alabama",Barbour County,Alabama,45445,89300,,,,31.8172896,-85.35496499999998,46.386499986052506,54.42799996137619,38.345000010728846,0.4895737016294885,73.50250053405763,89.70999908447266,9.349027496337893
"Bibb County, Alabama",Bibb County,Alabama,61099,105500,,,,32.956279800000004,-87.14228949999998,42.6402500718832,50.238499933481215,35.04200021028519,0.17674763371625285,64.125,84.71499919891356,9.697153518482445
"Blount County, Alabama",Blount County,Alabama,58974,122200,140600.0,82700.0,228600.0,34.0145152,-86.49965460000001,38.18075003325939,44.982500171661385,31.37899989485741,0.11453387305492492,62.27999973297119,84.49500083923341,9.929110023396015
"Bullock County, Alabama",Bullock County,Alabama,42317,66800,,,,32.0573536,-85.7256372,44.7822500139475,52.69999989271165,36.86450013518333,0.28101030766494633,72.18249988555908,88.06750011444092,9.643527382417918
"Butler County, Alabama",Butler County,Alabama,47812,88800,,,,31.6760284,-86.6611083,45.223249915242185,52.29500009119511,38.151499739289285,0.3454356323780976,67.43499946594238,86.60499954223633,10.643082692348957
"Calhoun County, Alabama",Calhoun County,Alabama,58788,110100,,,,33.7701576,-85.80766,39.50375021994114,47.030000418424606,31.977500021457672,0.11750281326414096,62.53000068664551,85.05250072479248,8.961529997086524
"Chambers County, Alabama",Chambers County,Alabama,51434,86400,,,,32.9028048,-85.35496499999998,42.581750094145534,50.78300015181303,34.38050003647804,0.19355769232502132,69.58750152587889,86.77999877929688,9.038776032778026
"Cherokee County, Alabama",Cherokee County,Alabama,54671,116300,117300.0,55100.0,195100.0,34.166532200000006,-85.684578,38.808500131964685,46.242500257492075,31.3745000064373,0.16111728713268372,59.97000026702881,84.52500247955322,8.99161049945593
"Chilton County, Alabama",Chilton County,Alabama,59036,98600,118400.0,54900.0,205100.0,32.944392,-86.6611083,41.79875006973744,49.50050004720688,34.09700009226799,0.17116771908256953,66.09500026702881,85.19250011444092,9.072354633868931
"Choctaw County, Alabama",Choctaw County,Alabama,48466,69000,,,,32.0716631,-88.24611829999998,45.041000245371826,52.11500022346154,37.96700026728213,0.33381432060181626,58.34999942779541,83.72999954223633,11.63213277289033
"Clarke County, Alabama",Clarke County,Alabama,50851,93500,,,,31.7002461,-87.77633329999998,44.59774990156293,51.399499760009355,37.79600004311651,0.3526017046350194,60.972500801086426,84.66500091552734,12.18509796826005
"Clay County, Alabama",Clay County,Alabama,51364,89300,,,,33.279527,-85.84862360000002,40.05275012552738,47.813000100851056,32.29250015020371,0.15172733096625862,66.37750148773193,85.86000156402588,8.825561342424153
"Cleburne County, Alabama",Cleburne County,Alabama,51607,111800,,,,33.6261707,-85.52002399999998,39.66349990665913,47.4754999935627,31.851499819755553,0.20711343603457996,64.08750057220459,85.49499893188477,8.781599110740423
"Coffee County, Alabama",Coffee County,Alabama,65863,147800,114400.0,,228800.0,31.475117200000003,-86.0121573,47.191999995708464,54.45050004720688,39.933499944210055,0.7388838069645439,71.71750068664552,88.93000221252441,10.451708585894108
"Colbert County, Alabama",Colbert County,Alabama,56372,108500,96500.0,50600.0,186200.0,34.7117567,-87.89424509999998,36.98600018024445,43.67750012874603,30.29450023174286,0.11703386081485298,59.46500110626221,83.35499954223633,10.124900352821351
"Conecuh County, Alabama",Conecuh County,Alabama,39554,76100,,,,31.501571,-86.9824288,45.344749638438216,52.10149936378002,38.587999913096425,0.4523285630885072,65.09000015258789,86.24749946594238,10.609112495132683
