RegionID,RegionName,State,name,Geography,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
3101,Los Angeles County,CA,California,"Los Angeles County, California",Los Angeles-Long Beach-Anaheim,6,37,1,280000,279700,279600,279400,279400,279600,279900,280500,281500,282700,283900,284800,285900,287100,288600,290400,292600,295100,298000,301300,305300,309600,313800,317500,321000,324200,327100,329900,332600,335500,338600,341900,345700,349600,353300,356600,359800,362900,365700,368200,370400,372300,374400,376700,379600,382700,385900,388700,391600,394600,397500,400400,403300,406000,408900,411900,415200,418500,421900,425000,428100,431100,434100,437000,439900,442900,446200,449700,453700,458000,462600,467400,472600,478300,484400,491100,498100,505600,513500,521700,529800,537500,544900,552300,560000,567800,576300,585500,595100,604800,614800,624900,635700,647200,659800,673600,688600,704000,719200,733500,746500,758100,768200,776800,784500,792000,799300,806900,814600,822600,831100,840200,849300,858400,867000,874600,881000,886400,891000,895300,898800,901300,902300,901300,897800,893100,888200,883100,878300,873900,869300,864300,858800,852800,846600,840000,832600,825300,818300,811600,805100,798500,790400,780800,769300,757200,746000,737600,731600,727500,723600,720000,717200,714900,712100,708300,703300,697300,693200,693600,696800,700900,705100,708600,711500,713900,715000,712600,711700,713400,712900,707400,703300,699100,695000,691600,688900,684700,681000,678700,676400,673900,673100,672400,669500,665900,663400,660700,657800,656300,656700,658900,663900,669900,674800,678900,682500,686600,692400,701000,709400,716600,726100,740600,754800,767500,779100,789200,797200,803700,807900,811000,813000,814400,817300,821700,825500,829500,835300,841500,845500,848300,850600,852100,855400,862100,868800,873900,879400,885200,889800,894400,899100,904600,911100,917800,924700,931100,934900,937900,941100,943000,945200,950200,957300,964000,968700,974400,981500,986900,990700,995000,1001000,1008100,1015400,1022200,1030300,1040100,1049700,1058500,1067200,1079900,1094600,1105100,1110000,1113300,1115900,1118200,1121400,1125400,1130500,1134300,1137100
139,Cook County,IL,Illinois,"Cook County, Illinois",Chicago-Naperville-Elgin,17,31,2,217200,219100,220500,221000,220800,219600,217700,215200,212900,210900,208700,206000,203700,201600,199600,197600,195900,194900,194700,195700,198300,202000,205800,209400,213300,217200,221100,225000,229000,232900,236400,239200,241600,243400,244100,243900,243600,243600,244000,245000,246400,248300,250500,253100,256400,260200,263900,267100,270500,274000,277300,280500,283600,286400,289000,291200,293200,295200,296800,298100,299400,300800,302400,304200,306300,308500,310800,313200,315600,318000,320400,322800,325100,327200,329200,331100,332900,334600,336400,338200,339900,341600,343200,344800,346300,347700,349200,350700,352300,354000,355700,357500,359500,361800,364100,366600,369300,372000,374900,377900,380800,383600,386500,389200,391800,394400,396800,399400,402400,405600,408900,412400,415900,419400,422900,426100,428900,431500,433800,436000,438000,439600,440700,441300,441400,441300,441300,441200,441300,441600,441500,440900,440000,438700,437100,435500,433800,432300,431200,429700,427500,425000,422000,418500,414900,411100,406800,402600,398400,394700,391800,389000,385800,382800,379700,376000,371600,366700,361900,358200,355600,353700,352700,352200,352000,350500,350400,350700,349100,347000,346000,343400,340700,337800,333500,329800,326900,326100,325800,324200,321700,319900,318300,317000,316000,314800,313300,311500,311100,309900,307100,305200,306000,307400,308900,310300,311900,313700,315100,316500,317700,319200,321100,324200,327900,331900,336400,342000,346300,349200,351300,352500,353300,354400,355200,355700,356900,358800,360800,362700,364200,365300,366000,366800,367100,366400,365700,367000,369500,371000,371700,371500,370800,371000,372500,374200,375200,376000,377500,379200,380600,381700,382400,383200,384400,385700,387300,389500,390900,390700,390400,391000,392300,393300,393700,393900,394000,394100,394900,395800,395800,397400,400800,402900,402900,403100,402600,401800,401500,401400,401400,401900,403000
1090,Harris County,TX,Texas,"Harris County, Texas",Houston-The Woodlands-Sugar Land,48,201,3,205300,204700,204400,204500,205000,205800,206700,207200,207100,206400,205300,204400,203700,203500,203800,204500,205700,207000,208300,209400,209800,209600,209100,208500,208000,207600,207300,207200,207500,208400,210200,213300,218000,224000,230500,236700,241200,243400,243800,242900,241300,239200,237200,236000,236200,238100,241800,246800,252300,257800,262600,265900,266900,265300,261800,257400,253100,249500,246400,243600,241100,238800,236700,235100,234300,234300,234900,235700,236500,236900,236700,236000,235500,235400,235600,236000,236500,237000,237500,237700,237200,236500,235500,234400,233300,232400,231700,231100,230800,230800,231000,231400,231700,232000,232200,232400,232500,232600,232700,233000,233500,234200,235100,236100,237300,238500,239600,240500,241300,241900,242500,242800,243000,243200,243500,243800,244300,244900,245500,246000,246300,246500,246900,247600,248700,250100,251500,252900,254000,254700,255100,255500,256000,256800,257800,258800,259600,260200,260600,260900,260700,259900,258700,257300,255900,254700,253800,253100,252600,252200,251900,251700,251600,251500,251300,251000,250700,250300,249900,249900,250200,250500,250900,251300,251600,252000,252100,252200,252600,252700,252000,250900,249800,249100,248500,247300,246000,245200,244800,244900,245500,246300,246600,246300,245900,245800,245700,245800,245400,244800,245100,245400,244800,244400,245100,246400,247700,248300,248400,248900,250400,252000,253500,254900,256200,257900,260300,262800,264900,266800,268500,270000,271600,273000,274200,276100,278600,281200,284100,286600,288800,291200,294000,296800,299400,301200,302300,304100,306300,308200,309600,311100,312600,313900,314800,315500,316400,317700,318900,319600,320200,321000,321600,322100,322400,322700,323000,323300,323700,324400,324900,325100,325400,326200,326600,326500,326500,326500,326900,327500,327500,328800,332200,335400,337100,337800,337600,337500,338000,338200,338500,339700,341400
2402,Maricopa County,AZ,Arizona,"Maricopa County, Arizona",Phoenix-Mesa-Scottsdale,4,13,4,176200,176600,177200,178000,179000,180100,181300,182400,183400,184400,185400,186400,187400,188500,189600,190600,191500,192400,193300,194200,195100,195900,196600,197200,197800,198600,199600,200800,202100,203500,204900,206300,207700,209100,210400,211600,212900,214200,215400,216500,217600,218500,219600,220800,222300,224100,226000,227800,229600,231100,232400,233400,234300,235200,236100,237300,238600,240100,241400,242500,243400,243900,244300,244500,244700,245100,245600,246300,247300,248500,249600,250600,251600,252600,253500,254600,255700,256900,258200,259700,261100,262500,263600,264700,265800,266900,268200,269700,271300,273200,275300,277300,279400,281600,284000,286700,289700,293400,298100,303800,310400,317700,325900,334900,344900,355600,366900,379300,393100,408000,423500,439100,453700,466500,477000,485000,490700,494800,498200,500900,502600,502800,501400,498500,494700,490700,486900,483500,480900,478900,477200,475700,474200,472400,469800,466200,461500,455800,449100,441800,434000,425900,417200,408300,399700,392000,384800,377900,371300,364700,358100,351600,345300,339100,332700,325900,319000,312200,306100,302000,299500,297800,296600,296100,296100,296200,296100,295700,294600,292700,290400,287300,283400,280600,279000,276600,274600,273600,273200,272800,271600,269400,267800,266400,265700,265600,266600,268900,271500,273400,275800,279300,284400,290200,295200,299700,304500,308300,311300,314700,317800,320400,323600,327400,331100,335600,340500,345200,348800,352300,354400,355300,355800,357300,358300,358700,358600,359100,359600,359600,359200,359600,361100,362700,364000,365100,366200,367100,368500,370700,373300,375900,378900,381200,382100,382700,383800,385000,386100,387300,388600,389700,390800,392500,394100,394800,395600,397400,398800,399100,399600,401400,403700,405200,406500,408200,409900,411700,413600,415200,416900,420100,423500,426000,427900,430000,432500,434600,436300,438200,440500,442300,444000
2841,San Diego County,CA,California,"San Diego County, California",San Diego-Carlsbad,6,73,5,265000,264500,264000,263500,263400,263500,264100,265000,266400,268100,269700,271000,272600,274200,276000,278000,280200,282700,285500,288600,292200,296200,299900,303200,306600,310000,313600,317300,320900,324400,328000,331600,335300,338900,342100,345000,348000,351000,354200,357400,360700,364200,368100,372400,377500,383000,388500,393700,398800,403900,408800,413500,417900,421900,425700,429500,433500,437700,442000,446400,450700,454800,458500,462000,465600,469400,473700,478300,483300,488300,493200,498100,503200,508400,513900,519600,525600,531800,538400,545000,551400,557400,562900,568500,574400,580600,587600,595600,604400,613900,623700,633700,644400,656100,669000,683100,698400,714700,731600,747600,761500,772900,781900,788400,793100,796800,799800,802500,804600,805500,805300,804400,803000,801700,800800,800200,800100,800700,801600,802400,802800,802300,800500,797500,793500,789900,786900,783900,781100,778500,774700,769600,764000,759000,754900,751100,747000,742900,738500,733000,726600,719500,711300,702400,693300,685300,678300,672400,667400,663700,660700,658100,656200,654900,652500,648500,643300,637800,633800,632800,633700,635400,637400,639300,641700,642600,642400,642600,644300,644700,643300,640100,637100,632800,628100,624400,618900,612500,609600,609100,607700,605100,600300,596000,593400,590500,588200,587100,586600,587800,589400,590400,593900,600100,606100,610200,614000,619300,625500,632300,639000,642900,647700,657700,668300,677300,688000,698300,705000,709600,712000,712900,715600,721000,725800,727400,727100,727600,730100,733300,733900,734800,737800,739700,739700,741300,745300,749700,753300,757500,763000,768700,774200,778700,781500,784400,790200,796500,799200,800200,803100,806100,807400,809300,812700,816900,822100,829000,835000,839300,842400,846100,851700,858000,862200,864900,868000,872100,875800,879200,883900,892700,903000,910100,912300,912500,913000,915300,919700,922300,923800,925100,926900
1286,Orange County,CA,California,"Orange County, California",Los Angeles-Long Beach-Anaheim,6,59,6,311600,311200,310800,310400,310200,310100,310300,310800,311700,312800,313900,314600,315600,316900,318700,320900,323400,326500,329900,333800,338200,343000,347600,351900,356300,360700,365300,369800,374300,378700,382900,387000,391000,394900,398200,401100,403700,406200,408700,411200,413800,416600,419900,423400,427400,431700,435600,439100,442400,445800,449100,452600,456100,459800,463800,467900,472300,476700,480800,484600,488300,491800,495200,498800,502500,506600,510900,515400,520100,524800,529500,534300,539600,545500,552200,559600,567300,575400,583800,592200,600300,608000,615400,623100,631400,640200,649900,660600,672200,684400,697000,709800,723600,738700,755500,774100,794000,813800,832400,848200,860500,869600,876600,882600,888400,894300,900200,906000,911300,916200,921200,926900,933100,939600,946300,953100,960400,967900,974800,980700,985000,987400,987800,986600,984400,981700,978500,974600,970800,967800,964100,958300,950600,941900,932100,920800,908600,896900,885800,874400,861700,848500,835000,821500,809700,801600,796500,792900,789500,787000,785500,784400,783300,782300,779800,774800,768500,762800,758400,756500,756600,757600,759200,760900,762700,761500,759900,759600,760700,761200,760200,757500,755400,753100,749200,743200,736700,732100,729300,727000,724800,721100,717300,715100,713400,709900,707300,708500,711900,712400,711600,713500,716400,720200,725100,731200,736700,744300,751800,757600,763600,773000,785400,800600,817600,832200,844100,852600,858000,861200,864500,867300,868400,870500,874900,878000,880000,882200,882200,880800,880800,882500,885000,888800,892100,894500,897500,901900,904800,907100,910200,914300,919000,925200,929800,933800,939300,943700,944400,945100,946300,947800,950400,954600,958700,962900,968700,974300,978800,984300,989800,992700,993500,995000,998900,1004400,1008800,1012600,1016800,1022500,1028000,1036100,1046400,1054500,1060200,1068200,1076700,1083300,1088900,1090100,1090300,1091800,1095200
581,Kings County,NY,New York,"Kings County, New York",New York-Newark-Jersey City,36,47,7,225800,226200,226600,226800,227000,227200,227400,227600,228200,229100,230000,230600,231200,231900,232700,233700,234900,236500,238300,240300,242700,245300,247800,250100,252400,254400,256100,257500,258800,260200,261700,263400,265600,268200,270800,273300,276200,279200,282400,285800,289400,293100,297000,301100,305900,311100,316400,321500,326600,331300,335600,339500,343100,346700,350400,354600,359500,365000,370800,377000,383300,389400,395100,400800,406900,413500,420800,428400,435600,441100,443300,441900,437900,433000,428800,426300,425900,427500,430400,434100,438200,443500,451200,461800,475400,491500,508900,524900,537100,545000,550200,554100,557900,562500,567800,573900,580400,587500,595300,604500,615300,627700,641100,654300,666800,678100,688200,698000,707400,715700,723500,732100,741900,752400,762400,771000,777600,782100,784600,787600,792600,799000,805400,811600,816200,818100,817500,815500,813800,813300,812800,812900,813200,811700,807900,804500,801700,799300,796900,795600,796600,800400,805100,811000,817200,820400,819200,816000,811900,807600,803000,797900,792800,788200,782700,777900,774000,768900,761300,754700,750200,748200,748300,750400,753600,756800,760000,752700,736600,728100,733400,736100,732300,725700,724100,726400,728000,727200,733100,747200,760200,766500,769600,772200,774500,777100,778100,777000,775200,774400,772700,770500,770700,772000,771300,773300,778800,785400,793400,802700,810700,817000,819500,822300,829800,841700,853300,864300,875300,889100,902800,913100,923100,934100,942700,950000,959900,971600,981500,989500,999800,1011200,1017600,1023500,1031900,1041300,1048100,1056500,1068800,1081400,1092400,1106700,1125500,1141200,1154600,1166100,1176500,1183000,1192700,1203100,1211500,1217600,1226100,1233700,1238900,1242800,1247800,1256800,1268700,1279900,1287300,1295300,1301900,1306000,1307200,1310200,1313500,1316900,1317800,1316800,1317400,1324500,1334400,1340800,1345300,1348300,1348700,1349100,1350500,1349700,1348200,1342500,1334500
2964,Miami-Dade County,FL,Florida,"Miami-Dade County, Florida",Miami-Fort Lauderdale-West Palm Beach,12,86,8,173300,173300,173100,172900,172500,172100,171800,171600,171800,172200,172600,172900,173300,173800,174300,174700,175200,175700,176200,176800,177600,178400,179000,179400,179500,179600,179600,179700,180100,180800,181600,182500,183400,184300,185000,185500,186000,186600,187400,188100,188700,189400,189900,190500,191100,192000,193000,194200,195600,197000,198600,200200,201800,203500,205300,207200,209300,211400,213500,215600,217900,220400,223200,226100,229200,232300,235500,238600,241900,245100,248200,251200,254200,257000,259900,262700,265600,268600,271800,275300,279200,283100,287100,291000,294700,298100,301300,304300,307200,310200,313400,316700,320300,324400,328900,333800,338900,344200,349900,355900,362000,368400,375100,382100,389400,396900,404200,411700,419800,428600,438000,447600,456900,465400,473200,480300,487300,494700,502400,510900,519800,527800,534400,539300,542600,544700,546000,546500,546900,547700,547800,547300,546800,546100,544700,542900,539900,536200,531500,525000,516900,507800,496600,483800,470700,457600,445000,434100,424200,414700,405200,395200,385600,377300,369000,360000,350900,341600,333200,328100,325600,324300,323800,322900,322300,321300,321200,319800,317300,315100,314700,312500,309100,305500,303900,304600,304100,301900,301400,303400,305400,307100,307600,306700,306000,306400,306700,307500,309900,312200,314000,316700,320500,324400,327800,331200,335000,337500,338600,341000,344100,347200,350400,353800,357700,363000,368600,373800,377900,381800,385300,388500,392000,396600,400600,403700,406800,409700,412900,417400,422900,427300,430100,431800,433400,434700,435700,437400,440200,443500,446100,447900,449900,453400,457100,458400,458700,459800,462600,466500,469900,471900,474000,476200,476400,476300,478800,483100,486900,489300,489200,488400,489000,490600,492100,494300,496300,498200,499700,500000,499900,502800,507600,511000,512500,514100,515200,515200,515000,515100,516600,517600,518200
978,Dallas County,TX,Texas,"Dallas County, Texas",Dallas-Fort Worth-Arlington,48,113,9,193700,194100,194700,195300,196000,196700,197400,198200,198900,199400,199800,200100,200400,200800,201200,201500,201700,201800,202100,202700,203500,204700,206100,207300,207800,207700,207200,206400,205600,205000,204600,204800,205600,206800,208100,209000,209700,210200,210500,210800,211100,211400,211800,212100,212500,212700,212800,212800,212700,212700,212800,213200,213700,214300,214800,215000,214700,214200,213400,212700,212200,211900,211900,212000,212300,212800,213300,213900,214300,214600,214800,215000,215300,215900,216500,217300,218100,218800,219300,219800,220000,220200,220500,220800,221100,221400,221600,221500,221300,221000,220700,220700,221200,222500,224300,226400,228200,229600,230600,231300,231800,232300,232900,233500,234200,234900,235600,236500,237700,238900,240300,241800,243200,244300,245300,246200,247300,248500,249800,251100,252400,253300,253900,254600,255400,256400,257500,258500,259300,259800,260000,260500,261100,261600,262000,262400,262600,262800,262800,262600,262000,260700,258600,256500,254800,253300,252200,251700,251400,251000,250700,250500,250500,250600,250600,250500,250400,249800,249000,248500,248200,248100,248100,248200,247700,247600,248600,248400,246400,245900,246100,245300,244800,244700,244200,243500,243000,242500,242000,241400,241200,241300,241100,240700,240200,240200,240400,240600,241100,241300,241200,241300,241900,242300,243100,244000,244400,244100,244100,244400,244800,245100,245500,246600,248000,249000,249800,251200,252700,253400,253800,254800,255800,256400,257100,258200,259600,261300,262800,264600,266700,268900,270800,272500,274500,276600,278900,281600,284400,286700,288500,290100,291600,293400,295400,297500,299800,301700,303400,305500,308200,311300,315800,320900,325100,328600,333300,337400,340300,344000,348700,353500,358000,362300,365400,367700,370300,373400,375200,375000,375200,378000,381800,384600,386800,388400,388700,388600,389000,390000,391800,395800,400400
1347,Queens County,NY,New York,"Queens County, New York",New York-Newark-Jersey City,36,81,10,242500,243100,243900,244500,245000,245400,245700,246100,246600,247100,247400,247400,247700,248300,249200,250500,251800,253400,255100,256900,258900,260800,262300,263600,264900,266600,268500,270700,272900,275000,277100,279100,281100,283000,284700,286300,288600,291600,295200,299100,303200,307300,311300,315400,319800,324100,327900,331400,335200,339200,343300,347300,351100,354700,358000,361300,364400,367000,369000,370900,373400,377100,381800,387300,393200,399400,405400,411100,415700,418400,418500,417200,415700,415100,415400,416000,416600,417300,418700,420700,425300,435000,450700,468900,484000,492200,494900,495000,494900,496200,499500,504400,510300,516300,521800,527400,534300,542800,552600,562800,573000,582900,592300,601100,608600,614500,618900,623300,629000,636100,644500,653500,662700,672200,681500,690200,698100,704400,708700,711800,715200,719000,722600,724700,724700,721500,715000,707000,699400,693800,690200,688000,686900,686100,684700,682900,681300,680100,679100,678500,677500,675700,672500,668300,663000,657300,651500,647100,643900,640900,637900,635700,633800,631800,629000,626100,623600,621200,618900,618300,619000,619800,621000,623600,626800,627100,626800,627300,625400,621700,622300,625600,624500,618600,615400,612800,610900,611600,615500,617000,618900,621900,622200,618200,617400,621800,622800,619200,614000,610000,606100,603700,601300,599800,599300,598200,597200,599800,604000,607000,609100,610900,612900,616200,621600,628500,633900,637500,641300,645800,650600,656900,663900,670900,677800,684000,688500,692300,696800,703400,710800,715200,718000,723800,732000,738900,744500,750700,756600,761000,766400,774700,781100,784300,788900,794500,798100,801300,805300,808300,812000,816200,819900,823400,828100,830500,832700,838100,846200,852100,854500,857000,862700,870500,876200,880700,885500,892000,898200,902200,904200,907200,910200,914400,919600,926100,931700,934800,935700,938000,941400,943500,944200
